taxonID,description,type,language
belgian-formicidae-checklist:taxon:00853c55544ff7fe4f96d28d4ecd850b,Palearctic,native range,en
belgian-formicidae-checklist:taxon:014918b80fb792fac60dc4170ec5e07d,Palearctic,native range,en
belgian-formicidae-checklist:taxon:06b77f14573712f858ebe8b821715c59,Southern Europe,native range,en
belgian-formicidae-checklist:taxon:0aaff6820c2a6716a993a4da7242b7aa,Palearctic,native range,en
belgian-formicidae-checklist:taxon:0b0c40b4abdd6903755d8a79e43cb858,Palearctic,native range,en
belgian-formicidae-checklist:taxon:0b2887204e24813048726a98a0282aed,Palearctic,native range,en
belgian-formicidae-checklist:taxon:0c00a7f95bf886620aaf230ef19c4702,Nearctic,native range,en
belgian-formicidae-checklist:taxon:0d7d6fd91f619552285eb56d4d191260,Palearctic,native range,en
belgian-formicidae-checklist:taxon:0dbc05f5d94a2e738238300990ce2211,Palearctic,native range,en
belgian-formicidae-checklist:taxon:116fc35685c3bd11b23a68a14041e0d3,Palearctic,native range,en
belgian-formicidae-checklist:taxon:127f27b83959a4e0b9b42422aec5e049,cosmopolitan,native range,en
belgian-formicidae-checklist:taxon:168799e6d3730233c734e71d8b1c5151,Palearctic,native range,en
belgian-formicidae-checklist:taxon:172be019b220e0edb45638245f88ea48,Palearctic,native range,en
belgian-formicidae-checklist:taxon:17c2cbb37ea8f36503ee1be2130a6a70,Palearctic,native range,en
belgian-formicidae-checklist:taxon:18daedc71cea2ad67599d6368512be04,Palearctic,native range,en
belgian-formicidae-checklist:taxon:19c03a61dd4a7ace9303b12d684faf53,Palearctic,native range,en
belgian-formicidae-checklist:taxon:1a01ace56d7703eac736da8647d74a4a,Southern Europe,native range,en
belgian-formicidae-checklist:taxon:1a01ace56d7703eac736da8647d74a4a,Eastern Europe,native range,en
belgian-formicidae-checklist:taxon:1a01ace56d7703eac736da8647d74a4a,Western Europe,native range,en
belgian-formicidae-checklist:taxon:1a01ace56d7703eac736da8647d74a4a,Northern Europe,native range,en
belgian-formicidae-checklist:taxon:1d59be9f5c875dc89dabda9fa9046b40,Palearctic,native range,en
belgian-formicidae-checklist:taxon:200b8c80161b4c9dfa9284fd9041e310,Palearctic,native range,en
belgian-formicidae-checklist:taxon:2221bb1c3965593a1d5a4b15bd638283,Palearctic,native range,en
